,Date,Open,High,Low,Close*,Adj Close**,Volume,Date2
0,"Oct 17, 2022",234.41,279.30,234.40,268.16,268.16,110726900,2022-10-17
1,"Oct 10, 2022",225.64,238.80,211.73,230.00,230.00,71006800,2022-10-10
2,"Oct 03, 2022",237.85,245.80,224.28,224.75,224.75,52382600,2022-10-03
3,"Sep 26, 2022",225.60,246.98,220.72,235.44,235.44,64412800,2022-09-26
4,"Sep 19, 2022",245.05,250.49,221.43,226.41,226.41,64332400,2022-09-19
5,"Sep 12, 2022",233.61,242.29,215.80,240.13,240.13,60603500,2022-09-12
6,"Sep 05, 2022",225.59,234.78,214.69,233.57,233.57,29055300,2022-09-05
7,"Aug 29, 2022",221.93,233.88,218.74,226.11,226.11,36914200,2022-08-29
8,"Aug 22, 2022",232.55,236.95,223.15,223.28,223.28,28450000,2022-08-22
9,"Aug 15, 2022",248.11,251.99,235.68,241.16,241.16,30076500,2022-08-15
10,"Aug 08, 2022",227.49,251.62,224.65,249.30,249.30,41296700,2022-08-08
11,"Aug 01, 2022",223.10,232.07,220.88,226.78,226.78,30969400,2022-08-01
12,"Jul 25, 2022",221.31,230.75,211.64,224.90,224.90,48989700,2022-07-25
13,"Jul 18, 2022",192.50,229.35,188.40,220.44,220.44,139657400,2022-07-18
14,"Jul 11, 2022",184.73,189.22,169.70,189.11,189.11,50977100,2022-07-11
15,"Jul 04, 2022",176.28,190.21,172.68,186.98,186.98,25257900,2022-07-04
16,"Jun 27, 2022",191.77,192.20,170.30,179.95,179.95,34412400,2022-06-27
17,"Jun 20, 2022",177.60,191.19,169.80,190.85,190.85,46132200,2022-06-20
18,"Jun 13, 2022",177.07,183.85,164.28,175.51,175.51,54508400,2022-06-13
19,"Jun 06, 2022",202.09,207.38,180.85,182.94,182.94,37470200,2022-06-06
20,"May 30, 2022",196.18,205.47,190.80,198.98,198.98,36629600,2022-05-30
21,"May 23, 2022",186.15,195.25,177.17,195.19,195.19,42466400,2022-05-23
22,"May 16, 2022",193.30,195.89,175.71,186.35,186.35,56565200,2022-05-16
23,"May 09, 2022",177.66,187.77,162.71,187.64,187.64,71379100,2022-05-09
24,"May 02, 2022",191.71,204.38,175.81,180.97,180.97,69806600,2022-05-02
25,"Apr 25, 2022",213.81,216.66,185.60,190.36,190.36,108523600,2022-04-25
26,"Apr 18, 2022",340.00,351.68,210.05,215.52,215.52,250416100,2022-04-18
27,"Apr 11, 2022",350.00,359.41,339.86,341.13,341.13,15176200,2022-04-11
28,"Apr 04, 2022",373.55,396.02,353.69,355.88,355.88,24565300,2022-04-04
29,"Mar 28, 2022",375.23,396.50,366.73,373.47,373.47,23006300,2022-03-28
30,"Mar 21, 2022",378.02,386.66,366.43,373.85,373.85,20301300,2022-03-21
31,"Mar 14, 2022",338.72,381.80,329.82,380.60,380.60,32494000,2022-03-14
32,"Mar 07, 2022",360.41,367.02,340.00,340.32,340.32,28285000,2022-03-07
33,"Feb 28, 2022",387.33,397.75,357.17,361.73,361.73,25084500,2022-02-28
34,"Feb 21, 2022",388.95,392.42,354.72,390.80,390.80,23222100,2022-02-21
35,"Feb 14, 2022",387.59,409.36,385.70,391.29,391.29,29343100,2022-02-14
36,"Feb 07, 2022",410.17,412.98,387.65,391.31,391.31,38801400,2022-02-07
37,"Jan 31, 2022",401.97,458.48,396.64,410.17,410.17,74656600,2022-01-31
38,"Jan 24, 2022",383.91,394.80,351.46,384.36,384.36,96467100,2022-01-24
39,"Jan 17, 2022",520.08,526.64,379.99,397.50,397.50,80755900,2022-01-17
40,"Jan 10, 2022",538.49,544.27,511.88,525.69,525.69,23687500,2022-01-10
41,"Jan 03, 2022",605.61,609.99,538.22,541.06,541.06,20704000,2022-01-03
42,"Dec 27, 2021",615.00,620.61,602.05,602.44,602.44,8852500,2021-12-27
43,"Dec 20, 2021",586.43,616.88,584.26,614.09,614.09,9634600,2021-12-20
44,"Dec 13, 2021",612.00,612.64,581.74,586.73,586.73,15898700,2021-12-13
45,"Dec 06, 2021",606.01,632.46,601.00,611.66,611.66,13546300,2021-12-06
